objectid,facilityid,name,systemname,status,length,width,trailtype,surftype,hiking,dogwalking,walking,electric,mtbcycle,roadcycle,equestrian,ski,snowmobile,motorcycle,atv,mtrvehicle,skilllevel,condition,installyr,resurfyr,ownedby,maintby,creationdate,creator,editdate,editor,globalid,shlder,shapestlength
1,NA,Page Branch Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:46:27Z,KRISTYPO,{497B5C21-AE06-4BCC-94CD-010083768F42},NA,1491.99716393376
2,NA,Page Branch Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:46:30Z,KRISTYPO,{D83D23B9-3748-4D56-889A-7174923555A0},NA,5148.54138945602
3,NA,Page Branch Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:46:31Z,KRISTYPO,{A8C5C2F5-9149-43CE-B0E3-97C9D5331385},NA,5044.98910322986
4,NA,Page Branch Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:46:31Z,KRISTYPO,{11F2F6F1-E06F-48B5-B3A4-4F572D048CEC},NA,2680.82700467518
5,NA,Page Branch Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:46:32Z,KRISTYPO,{FC6FC289-B4E2-4CDD-9D04-7F951D3D5A48},NA,7858.1878268001
6,NA,East Fork Creek Trail,Page Branch Creek (Not Part of Larger Corridor),Proposed,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:14:56Z,KRISTYPO,{2CB5D3C7-0C13-48BB-95C6-34B24D98F660},NA,4073.72261418559
7,NA,Piney Woods Trail,Northeast Creek Greenway,Proposed,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-07T19:50:18Z,KRISTYPO,{E8497CB3-1BDD-441A-95BA-39ED541A2699},NA,7635.40504647187
8,NA,North Prong Creek Trail,Northeast Creek Greenway,Proposed,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-07-02T20:07:54Z,KRISTYPO,{4A2FA439-3619-4F47-8198-5BB0A55386E2},NA,19242.1003073131
9,NA,Piney Woods Trail,Northeast Creek Greenway,Proposed,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-07T19:50:19Z,KRISTYPO,{D49F19D7-3F90-410F-B9DC-1440961B7A45},NA,5579.09786295134
10,NA,Northeast Creek Trail,Northeast Creek Greenway,Proposed,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:44:35Z,KRISTYPO,{72C31078-2FC3-4015-B6A3-167060F727FC},NA,9219.2768587783
11,NA,Burdens Creek Trail,Northeast Creek Greenway,Proposed,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T18:58:24Z,KRISTYPO,{12F0313D-E9B3-40DE-A830-514E99EE78B4},NA,3676.28801458613
12,NA,Copper Creek Trail,Northeast Creek Greenway,Proposed,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:05:05Z,KRISTYPO,{07B6B30A-C8DF-4CD8-9D3F-B4F141D32E35},NA,3945.22946842748
13,NA,Southwest Creek Trail,Crooked Creek Greenway,Proposed,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T20:03:19Z,KRISTYPO,{C469E4E6-97E8-452B-A8EA-101BDA551B2C},NA,6972.93768526917
14,NA,Herndon Creek Trail,NA,Proposed,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:22:39Z,KRISTYPO,{199D1FDB-35FB-44B1-8BCA-988355AC3C35},NA,5991.58456121544
15,NA,Herndon Creek Trail,NA,Proposed,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:22:40Z,KRISTYPO,{BF8567EB-1B4E-42C4-A240-5FB8DE956CFE},NA,6371.70018936373
17,NA,Eagle Spur Trail,American Tobacco Greenway,Proposed,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:13:55Z,KRISTYPO,{AC7553FD-1658-4D06-B4CA-5CC076134462},NA,1200.40885148011
18,NA,Nancy Rhodes Creek Trail,Eno River Greenway,Proposed,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:35:15Z,KRISTYPO,{345659E3-F7B1-4E18-8A7E-4A45704C22D8},NA,4827.4588761151
19,NA,Parkwood Trail,Northeast Creek Greenway,Proposed,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:47:27Z,KRISTYPO,{290E7B49-67D8-46A4-A931-E2EB4B377B97},NA,2397.64865295437
20,NA,Cheek Road-NC 98 Trail,Little Lick Creek Greenway,Proposed,5.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-11-08T01:40:27Z,PARKS,{8024BB38-05DC-44DE-972E-5E4BEA6BAC4E},NA,2829.16300121717
21,NA,Rocky Creek Park Trail,Pearsontown-Rocky Creek Greenway,Proposed,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:53:30Z,KRISTYPO,{9D80CD9F-9DFF-4BB0-8498-125F0B3A45C6},NA,2895.92661959515
22,NA,Rocky Creek Park Trail,Pearsontown-Rocky Creek Greenway,Proposed,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:53:31Z,KRISTYPO,{024521D8-2086-4C14-BCBF-A8407F802D2C},NA,3554.08916764361
23,NA,Dry Creek Trail,New Hope Creek Greenway,Proposed,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:10:01Z,KRISTYPO,{2FCD4725-B6ED-4C95-9FDF-28A57958764B},NA,4676.54483753261
24,NA,Mud-Sandy Connector Trail 1,New Hope Creek Greenway,Proposed,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:33:58Z,KRISTYPO,{12F9A1E2-B961-46CD-9192-A4CCA121CB8F},NA,2204.31237168
25,NA,Third Fork Creek Trail - South,North South Greenway,Proposed,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T20:06:23Z,KRISTYPO,{1F6E1558-6290-4104-B2CC-5741106BDD6F},NA,7850.43519602289
26,NA,Mud Creek Trail,New Hope Creek Greenway,Proposed,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:34:47Z,KRISTYPO,{0EBACE57-6355-4397-A6CE-F53598B4C4A0},NA,2264.6873188618
27,NA,New Hope Creek Trail,New Hope Creek Greenway,Proposed,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:41:02Z,KRISTYPO,{EFECC656-67EE-4301-AE3E-CC1D22455C57},NA,3687.05778896769
28,NA,Mud Creek Trail,New Hope Creek Greenway,Proposed,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:34:47Z,KRISTYPO,{B3E4F77A-CA67-4FBB-BB6A-66250C6D69EB},NA,7456.74196413714
29,NA,Mud Creek Trail,New Hope Creek Greenway,Proposed,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:34:47Z,KRISTYPO,{B5659442-7443-431C-BF4D-D211E3A6769B},NA,2.9341973541346
30,NA,Mud Creek Trail,New Hope Creek Greenway,Proposed,4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:34:47Z,KRISTYPO,{A8178021-89F5-487D-92CB-5F4802F593F0},NA,73.060736023777
31,NA,New Hope Creek Trail,New Hope Creek Greenway,Proposed,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:41:02Z,KRISTYPO,{EA623A5C-AB50-441D-B733-EB92719E9D19},NA,1871.48084348138
32,NA,Long Branch Creek Trail,New Hope Creek Greenway,Proposed,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:30:31Z,KRISTYPO,{BDA750A3-18D6-40AF-83A9-6B48DEBF112E},NA,3738.21200469626
33,NA,ATT - Third Fork Connector,American Tobacco Greenway,Proposed,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T18:51:27Z,KRISTYPO,{F3FE5434-372D-4F34-866C-752A982D8FA8},NA,2197.52621944825
34,NA,Rockwood Trail,North South Greenway,Proposed,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:53:11Z,KRISTYPO,{555DDB48-7A45-431C-B99D-7EEC7A68D4AF},NA,6495.90661992112
36,NA,Mud-Sandy Connector Trail 2,New Hope Creek Greenway,Proposed,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:34:17Z,KRISTYPO,{F69F1795-C3A0-4446-BB58-E3B3ABCA98C8},NA,2727.9739473817
37,NA,Third Fork Tributary Trail,North South Greenway,Proposed,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T20:06:46Z,KRISTYPO,{F8516C75-B115-4930-922E-C68BC813C965},NA,7716.67101527848
38,NA,Rocky Creek Trail,Pearsontown-Rocky Creek Greenway,Proposed,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:54:01Z,KRISTYPO,{8C0409C2-45D2-4A40-A93A-92E9C04B6759},NA,7516.86947025772
39,NA,Campus Hills Trail,Pearsontown-Rocky Creek Greenway,Proposed,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:02:02Z,KRISTYPO,{20FAE0B8-0C00-486A-BBAD-0F8721329908},NA,3820.53597483978
41,NA,Lick Creek Trail,Lick Creek Greenway,Proposed,6.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:28:06Z,KRISTYPO,{2ED5D339-D42A-4200-83FA-315ABD425528},NA,16751.7152874574
42,NA,Lick Creek Tributary Trail,Lick Creek Greenway,Proposed,1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:28:30Z,KRISTYPO,{CDD66880-4FFB-4870-931E-D38C9A2D4F9A},NA,2985.9345271804
43,NA,Brier Creek Trail East,Lick Creek Greenway,Proposed,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T18:54:05Z,KRISTYPO,{959DE386-8355-4CC7-8F73-47EE5DFFC353},NA,5821.69750371129
44,NA,Brier Creek Trail West,Lick Creek Greenway,Proposed,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T18:54:27Z,KRISTYPO,{4F777B60-57BF-4253-B947-BEBE4BECC210},NA,5800.31398497978
45,NA,Chunky Pipe Creek Trail,Little Lick Creek Greenway,Proposed,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:03:20Z,KRISTYPO,{F637C0D2-28AA-47CB-8FFB-8F95E36239EC},NA,7973.53207404222
46,NA,Little Lick Creek Trail,Little Lick Creek Greenway,Proposed,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:29:26Z,KRISTYPO,{7B5D2112-FE3C-4466-9F38-1759C2DF54A6},NA,4419.90989049058
47,NA,Oak Grove Trail,Little Lick Creek Greenway,Proposed,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:45:03Z,KRISTYPO,{6A691C0B-AF72-4FA0-9463-72DF344087CD},NA,2585.79489944202
48,NA,Oak Grove Trail,Little Lick Creek Greenway,Proposed,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:45:03Z,KRISTYPO,{1FAC44C5-71A9-4A31-81E6-6ECA732842C6},NA,3628.6899934555
49,NA,Birchwood Trail,Little Lick Creek Greenway,Proposed,3.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T18:52:44Z,KRISTYPO,{3751C19D-BE0C-4B11-BD4B-46525D339378},NA,15246.0456503741
50,NA,Southern High School Trail,Little Lick Creek Greenway,Proposed,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T20:02:56Z,KRISTYPO,{ED474C5A-6282-4E1B-A2F4-29D91AD72C85},NA,3017.26657130525
51,NA,Southern High School Trail,Little Lick Creek Greenway,Proposed,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T20:02:57Z,KRISTYPO,{F16A2FB4-3DD6-4419-8FB8-C40E0A363B03},NA,2298.66788640497
52,NA,Twin Lakes Trail,Little Lick Creek Greenway,Proposed,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T20:07:04Z,KRISTYPO,{AFF8F508-3CA2-4365-9FF1-A0E2E9E67F1E},NA,6969.84741987565
53,NA,Durham Beltline Connector,North South Greenway,Proposed,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:13:21Z,KRISTYPO,{92600DF7-506D-400D-AC3E-32B974149E7D},NA,1354.81529251048
54,NA,Goose Creek Trail East,Roxboro Rail-Trail Greenway,Proposed,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:21:57Z,KRISTYPO,{9A323EF3-775D-477C-8290-F81E50E96FF4},NA,8667.09194927291
55,NA,Roxboro Rail Trail,Roxboro Rail-Trail Greenway,Proposed,17.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:55:27Z,KRISTYPO,{783D4846-1F77-4530-9A4E-5AACB577D1E8},NA,13212.1648840217
56,NA,Downtown Trail,North South Greenway,Proposed,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:09:22Z,KRISTYPO,{1DB3DAD7-868C-4C8D-8A6E-924D38BADDB3},NA,1758.12548897341
57,NA,Crystal Lake Trail,North South Greenway,Proposed,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:07:26Z,KRISTYPO,{4F57B44D-D1F1-4C16-A0EF-C7F93FB6A1B9},NA,5393.72015254825
58,NA,Croasdaile Trail,Eno River Greenway,Proposed,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:06:22Z,KRISTYPO,{1B6BDD85-720C-49A2-91A9-B8C7E5767E56},NA,3012.15770988142
59,NA,North Ellerbee Creek Trail,North South Greenway,Proposed,6.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:42:45Z,KRISTYPO,{9F54DF49-A88F-4574-9C32-EBD3AC2586AF},NA,987.892695796137
61,NA,Crooked Run Creek Trail,Eno River Greenway,Proposed,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:07:02Z,KRISTYPO,{40EB1017-F9BF-4A8D-BA4A-4C124176CEEF},NA,8266.42537367012
62,NA,Eno River Trail,Eno River Greenway,Proposed,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:18:03Z,KRISTYPO,{6C715E54-3862-42A3-9E96-530CD64685B1},NA,17610.0052837118
63,NA,Carrington School Trail,Eno River Greenway,Proposed,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:02:21Z,KRISTYPO,{7081500C-DD4B-44AA-9316-20913E3E1AC4},NA,3509.42667207818
64,NA,Crooked Run Creek Trail,Eno River Greenway,Proposed,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:07:02Z,KRISTYPO,{DA1E22AD-0C9D-4895-BF59-8DA6B427B6B1},NA,3179.07282304027
65,NA,Crooked Run Creek Trail,Eno River Greenway,Proposed,4.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:07:02Z,KRISTYPO,{0EBD2684-DC7D-40A6-BC4B-5687BAC2E84A},NA,904.438178737636
66,NA,Cub Creek Sidewalk Trail,Eno River Greenway,Proposed,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:07:47Z,KRISTYPO,{618BC502-3DF2-4DDB-BD2B-D8FCE0D6AE75},NA,6790.15526950495
67,NA,Cub Creek Trail,Eno River Greenway,Proposed,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:08:19Z,KRISTYPO,{8BAC2143-1BC2-44E3-8483-7DC01643984C},NA,4450.03450992237
68,NA,Croasdaile Sidewalk Trail,Eno River Greenway,Proposed,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:05:55Z,KRISTYPO,{57DF0584-EC7E-4B2B-8734-090B61CE34C1},NA,2311.50864702564
70,NA,West Ellerbee Creek Trail Extension,North South Greenway,Proposed,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T20:11:09Z,KRISTYPO,{07C432FA-F1C1-4B91-8A70-8793E990637B},NA,2413.78466975588
71,NA,Oak Grove Trail,Little Lick Creek Greenway,Proposed,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:45:03Z,KRISTYPO,{C7BE1111-55BE-4DEB-B4D3-B93FCF425C72},NA,2112.30195133968
72,NA,Panther Creek Rail Trail,Little Lick Creek Greenway,Proposed,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:47:03Z,KRISTYPO,{E3243CE9-430B-4299-9F90-48A37D39BC4B},NA,3411.71385597931
73,NA,New Hope Creek Trail,New Hope Creek Greenway,Proposed,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:41:02Z,KRISTYPO,{595B01BF-2D8C-40AA-89D8-53C5EEBDFA57},NA,5741.21621454134
74,NA,Durham Belt Line,North South Greenway,Proposed,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:12:26Z,KRISTYPO,{A0E6B14A-A798-4BAB-AE9B-28EC3C84821D},NA,9157.1959561035
75,NA,New Hope-Third Fork Connector,New Hope Creek Greenway,Proposed,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:35:37Z,KRISTYPO,{61768A87-992D-45C2-93DB-592CB6380F1C},NA,1024.6808761508
76,NA,Glover Road Trail,Lick Creek Greenway,Proposed,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:21:23Z,KRISTYPO,{AC19C172-6AB4-49E3-AA17-73CFD9CCBD2B},NA,613.25141793229
77,NA,Glover Road Trail,Lick Creek Greenway,Proposed,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:21:25Z,KRISTYPO,{CCF51DFD-FD13-40E1-97A4-18446D43FBEB},NA,604.809064031485
78,NA,New Hope Creek Trail,New Hope Creek Greenway,Proposed,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,City of Durham,NA,2018-12-17T19:50:11Z,KRISTYPO,2019-01-15T19:41:02Z,KRISTYPO,{89EDE2E3-821D-4101-8F4B-02AAB3EA7506},NA,1773.62396321159
