Residence,date,unit_session_id,Age,BHI_A_1_r,BHI_A_2_r,BHI_A_3,BHI_A_4,BHI_C_1,BHI_C_2_r,BHI_C_3,BHI_C_4_r,BHI_E_1,BHI_E_2_r,BHI_E_3_r,BHI_E_4,BHI_HH_1,BHI_HH_2_r,BHI_HH_3_r,BHI_HH_4_r,BHI_O_1,BHI_O_2_r,BHI_O_3,BHI_O_4,BHI_X_1_r,BHI_X_2,BHI_X_3,BHI_X_4_r,Corona,Curfew_1,Curfew_1_1,Curfew_1_2,Curfew_2,Curfew_2_1,Curfew_2_2,Curfew_2_3,gender,Household_Size,Left_Right_Politics,Nationality,Risk_Duration,Risk_Freq,Risk_Quarantine,survey,ToP_Amount,ToP_Freqency,ToP_Inhouse,ToP_Ratio,Residence_County,BHI_HH_2,BHI_HH_3,BHI_HH_4,HH,BHI_E_2,BHI_E_3,E,BHI_X_1,BHI_X_4,X,BHI_A_1,BHI_A_2,A,BHI_C_2,BHI_C_4,consc,BHI_O_2,open,mobility,public_transport,Quarantine_Duration,continent,Germany,USA,German,American,europe,Americas,Rest,Country,Date.of.First.Case,Date.of.50th.case,date_diff,politics,perceived_threat,age,z.ToP_Amount,z.ToP_Freqency,z.ToP_Inhouse,duration,household,date_diff_z,Cat.Country
NA,2020-03-24,5323824,25,3,4,2,2,4,3,4,3,2,1,2,3,4,2,2,2,2,1,3,4,3,2,3,3,6,2,NA,NA,1,1,1,1,1,3,4,US,NA,0,2,2,1,1,6.5,2,NA,4,4,4,0.24307517954251995,5,4,0.7304661957572559,3,3,-1.85907840630868,3,2,-1.0682361777543259,3,3,0.04968980394652554,5,-0.911550452321279,0,1,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,0.45441334045715864,0.4601992955724603,-0.7386202577388848,-1.0813316838024079,-1.1408800904624739,-0.5864121069953332,-0.38637369313045344,0.25911343928651615,0.6566973238348977,Americas
NA,2020-03-24,5323210,24,2,1,4,4,5,2,4,2,4,3,4,3,4,1,2,1,2,2,4,3,3,1,3,1,6,1,1,1,1,1,1,2,1,1,4,US,6,0,1,2,1,1,10.5,2,NA,5,4,5,0.9891549293864337,3,2,-0.04228402301515715,3,5,-1.4658649655179719,4,5,2.397442105774366,4,4,1.23747487748427,4,-1.371481683583687,1,0,6,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,0.45441334045715864,0.4601992955724603,-0.8415825777819821,-1.0813316838024079,-1.1408800904624739,0.11202311999103683,1.3406040107944452,-1.0122017603655526,0.6566973238348977,Americas
NA,2020-03-24,5323145,29,3,3,4,3,2,2,4,4,2,4,4,2,1,1,2,1,2,1,2,2,1,3,4,1,3,1,1,2,1,1,1,2,1,2,1,US,NA,0,2,2,1,1,18.5,3,NA,5,4,5,-0.1299646953794369,2,2,-1.5877844605599833,5,5,0.5002022384355693,3,3,0.6646029640100201,4,2,-0.7421669117453041,5,-2.291344146108503,1,0,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-1.3416012908735158,-0.89991494297404,-0.3267709775664962,-1.0813316838024079,-1.1408800904624739,1.5088935739637768,-0.38637369313045344,-0.3765441605395183,0.6566973238348977,Americas
NA,2020-03-24,5357316,26,4,5,4,2,4,3,4,1,4,1,4,2,5,4,2,1,1,1,2,2,2,2,5,2,8,2,NA,NA,2,NA,NA,2,1,2,2,US,NA,1,2,2,1,1,14.5,2,NA,2,4,5,0.24307517954251995,5,2,0.3440910863710494,4,4,-0.2862246431458471,2,1,-1.0682361777543259,3,5,0.8415465196383553,5,-2.751275377370911,0,0,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-0.7429297470966243,1.3669421212701272,-0.6356579376957877,-1.0813316838024079,-1.1408800904624739,0.8104583469774068,-0.38637369313045344,-0.3765441605395183,0.6566973238348977,Americas
NA,2020-03-24,5323935,77,4,4,2,2,3,3,4,2,3,3,4,2,3,1,2,3,5,1,4,3,1,3,4,1,7,1,1,1,1,1,1,1,1,3,3,US,7,1,1,2,1,1,6.5,1,NA,5,4,3,-0.1299646953794369,3,2,-0.8150342417875702,5,5,0.5002022384355693,2,2,-1.5014459631954125,3,4,0.04968980394652554,5,0.46824324146594526,1,1,7,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-0.14425820331973283,0.9135707084212937,4.615420384502168,-1.0813316838024079,-1.1408800904624739,-0.5864121069953332,1.6284336281152618,0.25911343928651615,0.6566973238348977,Americas
NA,2020-03-24,5324452,23,2,4,2,2,4,3,4,2,2,1,5,5,3,2,1,1,3,1,3,4,2,3,2,3,4,2,NA,NA,1,1,1,1,1,2,1,US,NA,0,2,2,1,1,22.5,2,NA,4,5,5,0.6161150544644768,5,1,0.3440910863710494,4,3,-1.4658649655179719,4,2,-0.6350263923132394,3,4,0.44561816179244035,5,-0.45161922105887087,0,1,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-1.3416012908735158,-0.44654353012520653,-0.9445448978250792,-1.0813316838024079,-1.1408800904624739,2.2073288009501466,-0.38637369313045344,-0.3765441605395183,0.6566973238348977,Americas
NA,2020-03-24,5323033,29,4,4,4,2,4,4,4,4,2,2,4,1,5,2,2,1,2,2,2,5,3,1,4,2,8,2,NA,NA,1,1,1,2,1,2,8,RS,NA,0,2,2,2,1,18.5,2,NA,4,4,5,0.9891549293864337,4,2,-1.201409351173777,3,4,-1.4658649655179719,2,2,-0.6350263923132394,2,2,-0.7421669117453041,4,-1.371481683583687,0,0,0,Americas,0,1,0,0,0,1,0,US,2020-01-21,24.02.2020,63,2.849099515564725,1.3669421212701272,-0.3267709775664962,0.22889502795817385,-1.1408800904624739,1.5088935739637768,-0.38637369313045344,-0.3765441605395183,0.6566973238348977,Americas
NA,2020-03-24,5323952,31,4,4,2,1,3,2,2,2,4,2,4,3,4,1,1,2,4,1,5,3,1,2,4,1,7,2,NA,NA,1,1,1,2,1,2,3,US,NA,0,2,2,2,2,10.5,2,NA,5,5,4,0.9891549293864337,4,2,0.3440910863710494,5,5,0.10698879764486113,2,2,-1.9346557486364988,4,4,-0.3462385538993893,5,0.46824324146594526,0,0,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-0.14425820331973283,0.9135707084212937,-0.12084633748030188,0.22889502795817385,0.51074283119541,0.11202311999103683,-0.38637369313045344,-0.3765441605395183,0.6566973238348977,Americas
NA,2020-03-24,5336557,42,4,4,2,3,4,1,5,2,2,4,4,4,4,1,2,1,2,2,4,4,1,2,2,2,3,1,2,2,1,1,1,1,1,1,5,US,NA,0,2,2,1,1,6.5,2,NA,5,4,5,0.9891549293864337,2,2,-0.8150342417875702,5,4,-1.0726515247272634,2,2,-1.0682361777543259,5,4,1.6334032353301848,4,-0.911550452321279,1,1,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,1.0530848842340501,-0.89991494297404,1.011739182993767,-1.0813316838024079,-1.1408800904624739,-0.5864121069953332,-0.38637369313045344,-1.0122017603655526,0.6566973238348977,Americas
NA,2020-03-24,5323011,33,3,4,3,4,5,3,4,2,2,2,4,1,4,1,2,1,3,1,4,4,2,2,4,3,7,1,1,2,1,1,1,2,1,2,3,US,NA,0,2,2,4,2,18.5,2,NA,5,4,5,0.9891549293864337,4,2,-1.201409351173777,4,3,-1.0726515247272634,3,2,0.23139317856893354,3,4,0.8415465196383553,5,0.00831201020353719,1,0,0,Americas,0,1,0,1,0,1,0,US,2020-01-21,24.02.2020,63,-0.14425820331973283,0.9135707084212937,0.08507830260589246,2.849348451479337,0.51074283119541,1.5088935739637768,-0.38637369313045344,-0.3765441605395183,0.6566973238348977,Americas
